diagnose_code,diagnose_description,diagnose_id
A1814,Tuberculosis of prostate,1
C9150,Adult T-cell lymph/leuk (HTLV-1-assoc) not achieve remission ,1
C9151,"Adult T-cell lymphoma/leukemia (HTLV-1-assoc), in remission ",1
C9152,"Adult T-cell lymphoma/leukemia (HTLV-1-assoc), in relapse ",1
F0150,Vascular dementia without behavioral disturbance,1
F0151,Vascular dementia with behavioral disturbance ,1
F0390,Unspecified dementia without behavioral disturbance ,1
F0391,Unspecified dementia with behavioral disturbance,1
F69,    Unspecified disorder of adult personality and behavior ,1
G112,Late-onset cerebellar ataxia,1
G1221,Amyotrophic lateral sclerosis,1
G301,Alzheimer's disease with late onset ,1
G451,Carotid artery syndrome (hemispheric),1
G452,Multiple and bilateral precerebral artery syndromes ,1
G458,Oth transient cerebral ischemic attacks and related synd ,1
G459,"Transient cerebral ischemic attack, unspecified",1
G460,Middle cerebral artery syndrome ,1
G461,Anterior cerebral artery syndrome ,1
G462,Posterior cerebral artery syndrome ,1
H02031,Senile entropion of right upper eyelid ,1
H02032,Senile entropion of right lower eyelid,1
H02033,"Senile entropion of right eye, unspecified eyelid ",1
H02034,Senile entropion of left upper eyelid,1
H02035,Senile entropion of left lower eyelid,1
H02036,"Senile entropion of left eye, unspecified eyelid ",1
H02039,"Senile entropion of unspecified eye, unspecified eyelid ",1
H02131,Senile ectropion of right upper eyelid,1
H02132,Senile ectropion of right lower eyelid,1
H02133,"Senile ectropion of right eye, unspecified eyelid ",1
H02134,Senile ectropion of left upper eyelid,1
H02135,Senile ectropion of left lower eyelid,1
H02136,"Senile ectropion of left eye, unspecified eyelid ",1
H02139,"Senile ectropion of unspecified eye, unspecified eyelid ",1
H25011,"Cortical age-related cataract, right eye",1
H25012,"Cortical age-related cataract, left eye ",1
H25013,"Cortical age-related cataract, bilateral ",1
H25019,"Cortical age-related cataract, unspecified eye",1
H25031,"Anterior subcapsular polar age-related cataract, right eye ",1
H25032,"Anterior subcapsular polar age-related cataract, left eye ",1
H25033,"Anterior subcapsular polar age-related cataract, bilateral ",1
H25039,"Anterior subcapsular polar age-related cataract, unsp eye ",1
H25041,"Posterior subcapsular polar age-related cataract, right eye ",1
H25042,"Posterior subcapsular polar age-related cataract, left eye ",1
H25043,"Posterior subcapsular polar age-related cataract, bilateral ",1
H25049,"Posterior subcapsular polar age-related cataract, unsp eye ",1
